exercise,relation,muscle
bosu ball push up,TARGETS,pectoralis major-clavicular
wide grip decline bench press,TARGETS,chest
wide grip decline bench press,TARGETS,pectoralis major-clavicular
decline cable flys,TARGETS,pectoralis major-sternal
decline cable flys,TARGETS,chest
decline cable flys,TARGETS,pectoralis major-clavicular
neutral grip decline dumbbell bench press,TARGETS,chest
tall kneeling medicine ball chest pass,TARGETS,chest
kettlebell push up,TARGETS,pectoralis major-sternal
kettlebell push up,TARGETS,anterior deltoid
kettlebell push up,TARGETS,chest
kettlebell push up,TARGETS,pectoralis major-clavicular
cable chest press,TARGETS,pectoralis major-sternal
cable chest press,TARGETS,anterior deltoid
cable chest press,TARGETS,chest
cable chest press,TARGETS,pectoralis major-clavicular
rotating mountain climber,TARGETS,abs
reverse one arm cable curl,TARGETS,wrist flexors
reverse one arm cable curl,TARGETS,wrist extensors
reverse one arm cable curl,TARGETS,forearms
reverse one arm cable curl,TARGETS,brachioradialis
smith machine seated wrist curl,TARGETS,forearms
landmine goblet squat,TARGETS,quads
dumbbell thruster,TARGETS,quads
chair leg raise,TARGETS,obliques
chair leg raise,TARGETS,abs
chair leg raise,TARGETS,rectus abdominis
wide hack squat,TARGETS,quads
wide hack squat,TARGETS,glutes
ring fly,TARGETS,chest
ring fly,TARGETS,pectoralis major-sternal
wide grip push ups,TARGETS,chest
standing low pulley overhead tricep extension (rope extension),TARGETS,triceps
close grip ez bar curl,TARGETS,biceps
high weight plate front raise,TARGETS,shoulders
incline cable chest press,TARGETS,pectoralis major-sternal
incline cable chest press,TARGETS,chest
incline cable chest press,TARGETS,pectoralis major-clavicular
decline push up (feet on bench),TARGETS,chest
decline push up (feet on bench),TARGETS,pectoralis major-clavicular
two arm cable curl on incline bench,TARGETS,biceps
cable tricep kickback,TARGETS,triceps
standing cable wrist curl (behind back),TARGETS,forearms
push press,TARGETS,shoulders
power clean,TARGETS,quads
split squat,TARGETS,quads
split squat,TARGETS,glutes
smith machine squat to bench,TARGETS,quads
band resisted back squat,TARGETS,quads
1 kb kettlebell clean & press,TARGETS,quads
overhead step up,TARGETS,quads
overhead step up,TARGETS,glutes
incline cable flys,TARGETS,pectoralis major-sternal
incline cable flys,TARGETS,chest
incline cable flys,TARGETS,pectoralis major-clavicular
standing low to high cable fly,TARGETS,chest
incline push ups,TARGETS,pectoralis major-sternal
incline push ups,TARGETS,serratus anterior
incline push ups,TARGETS,chest
incline push ups,TARGETS,pectoralis major-clavicular
incline close grip bench press,TARGETS,triceps
one arm bent over dumbbell tricep kickback,TARGETS,triceps
banded tricep extension,TARGETS,triceps
seated french press,TARGETS,triceps
lateral band walk,TARGETS,glutes
glute lacrosse ball,TARGETS,glutes
banded glute bridge,TARGETS,glutes
sled pull through,TARGETS,glutes
side lying clam with band,TARGETS,glutes
incline hammer curl,TARGETS,biceps
incline hammer curl,TARGETS,brachialis
one arm dumbbell hammer preacher curl,TARGETS,biceps
one arm dumbbell hammer preacher curl,TARGETS,brachialis
twisting standing dumbbell curl,TARGETS,biceps
twisting standing dumbbell curl,TARGETS,brachialis
barbell hammer curl,TARGETS,biceps
smith machine shrug,TARGETS,traps
smith machine shrug,TARGETS,trapezius-upper fibers
military press behind neck,TARGETS,shoulders
standing arnold press,TARGETS,shoulders
prisoner jump squat,TARGETS,quads
overhead squat,TARGETS,quads
weighted sissy squat,TARGETS,quads
weighted sissy squat,TARGETS,glutes
snatch grip barbell shrug,TARGETS,traps
smith machine seated toe raise,TARGETS,calves
one-leg donkey calf raise,TARGETS,tibialis anterior
one-leg donkey calf raise,TARGETS,calves
one-leg donkey calf raise,TARGETS,gastrocnemius
single leg side to side jump rope,TARGETS,calves
smith machine toe raise,TARGETS,calves
valslide leg curl,TARGETS,hamstrings
alternating single leg jump rope,TARGETS,calves
single leg one dumbbell deadlift,TARGETS,hamstrings
inchworm,TARGETS,hamstrings
ez bar reverse grip barbell curl,TARGETS,forearms
dead bug,TARGETS,abs
standing stomach vacuum,TARGETS,abs
banded sumo deadlift,TARGETS,hamstrings
side plank,TARGETS,obliques
side plank,TARGETS,abs
side crunch with leg lift,TARGETS,abs
reverse grip cable curl,TARGETS,brachioradialis
reverse grip cable curl,TARGETS,forearms
reverse grip cable curl,TARGETS,wrist extensors
backward sled push,TARGETS,quads
lying cable pullover,TARGETS,chest
reverse grip close grip bench press,TARGETS,triceps
dumbbell tricep kickback,TARGETS,triceps
decline bench dumbbell lunge,TARGETS,quads
close grip dumbbell press (aka crush press),TARGETS,chest
alternate dumbbell bench press (high start),TARGETS,chest
one-arm seated dumbbell extension,TARGETS,triceps
plate resisted glute ham raise,TARGETS,hamstrings
paused sumo deadlift,TARGETS,hamstrings
reverse hyperextension,TARGETS,glutes
seated external rotation,TARGETS,glutes
trap bar rack pull,TARGETS,hamstrings
smith machine stiff leg deadlift,TARGETS,hamstrings
exercise ball preacher curl,TARGETS,biceps
seated zottman curl,TARGETS,biceps
reverse band sumo deadlift,TARGETS,hamstrings
kettlebell sumo deadlift (1 kb),TARGETS,hamstrings
banded trap bar deadlift,TARGETS,hamstrings
banded trap bar deadlift,TARGETS,erector spinae
sumo deficit deadlift,TARGETS,hamstrings
single leg landmine romanian deadlift,TARGETS,hamstrings
partner assisted nordic hamstring curls,TARGETS,hamstrings
reverse band deadlift,TARGETS,hamstrings
single leg snatch grip romanian deadlift,TARGETS,hamstrings
trap bar deficit deadlift,TARGETS,hamstrings
trap bar deficit deadlift,TARGETS,erector spinae
jefferson deadlift,TARGETS,hamstrings
sumo deadlift,TARGETS,hamstrings
snatch grip romanian deadlift,TARGETS,hamstrings
smith machine bicep curl,TARGETS,biceps
alternate seated dumbbell curl,TARGETS,biceps
barbell stiff leg deadlift (on bench),TARGETS,hamstrings
barbell sumo romanian deadlift,TARGETS,hamstrings
dumbbell upright row,TARGETS,lateral deltoid
dumbbell upright row,TARGETS,posterior deltoid
dumbbell upright row,TARGETS,shoulders
half kneeling banded face pull,TARGETS,shoulders
wide squat,TARGETS,quads
wide squat,TARGETS,glutes
clean & jerk,TARGETS,quads
one arm kettlebell z press,TARGETS,shoulders
seated cable shrug,TARGETS,traps
seated cable shrug,TARGETS,trapezius-upper fibers
low bar back squat,TARGETS,quads
seated dumbbell reverse curl,TARGETS,biceps
smith machine one leg calf raise,TARGETS,tibialis anterior
smith machine one leg calf raise,TARGETS,calves
smith machine one leg calf raise,TARGETS,gastrocnemius
lying cable upright row,TARGETS,traps
one-leg cable calf raise,TARGETS,tibialis anterior
one-leg cable calf raise,TARGETS,calves
one-leg cable calf raise,TARGETS,gastrocnemius
overhead barbell shrug,TARGETS,traps
overhead barbell shrug,TARGETS,trapezius-upper fibers
single leg curl,TARGETS,hamstrings
single leg curl,TARGETS,quads
single leg curl,TARGETS,glutes
posterior calf foam rolling,TARGETS,calves
double kettlebell suitcase deadlift,TARGETS,hamstrings
single leg jump rope,TARGETS,calves
deficit deadlift,TARGETS,hamstrings
exercise ball crunch,TARGETS,abs
exercise ball crunch,TARGETS,rectus abdominis
sit up,TARGETS,obliques
sit up,TARGETS,abs
sit up,TARGETS,rectus abdominis
decline sit up,TARGETS,obliques
decline sit up,TARGETS,abs
decline sit up,TARGETS,rectus abdominis
plank to hip raise,TARGETS,abs
kettlebell goblet carry,TARGETS,forearms
abdominal barbell rollouts,TARGETS,abs
one arm seated neutral dumbbell wrist curl,TARGETS,forearms
lateral lunge to drop lunge,TARGETS,quads
weighted chest dip,TARGETS,chest
weighted chest dip,TARGETS,pectoralis major-sternal
high pulley overhead tricep extension (rope extension),TARGETS,triceps
reverse grip cable tricep extension,TARGETS,triceps
ipsilateral load dumbbell rear lunge,TARGETS,quads
paused barbell bench press,TARGETS,pectoralis major-sternal
paused barbell bench press,TARGETS,anterior deltoid
paused barbell bench press,TARGETS,chest
paused barbell bench press,TARGETS,pectoralis major-clavicular
cable tricep extension with v-bar,TARGETS,triceps
smith machine incline bench press,TARGETS,pectoralis major-sternal
smith machine incline bench press,TARGETS,chest
smith machine incline bench press,TARGETS,pectoralis major-clavicular
one arm standing hammer curl,TARGETS,biceps
one arm standing hammer curl,TARGETS,brachialis
one arm kettlebell floor press,TARGETS,triceps
hip thruster with mini band,TARGETS,glutes
ez bar curl,TARGETS,biceps
wide grip standing barbell curl,TARGETS,biceps
diagonal band walk,TARGETS,glutes
one arm seated dumbbell curl,TARGETS,biceps
single leg good morning,TARGETS,glutes
banded standing shoulder press,TARGETS,shoulders
weight plate front raise,TARGETS,shoulders
standing dumbbell front raise,TARGETS,shoulders
kettlebell thruster,TARGETS,quads
bodyweight wall squat,TARGETS,quads
alternate seated dumbbell press,TARGETS,lateral deltoid
alternate seated dumbbell press,TARGETS,posterior deltoid
alternate seated dumbbell press,TARGETS,shoulders
reverse band back squats,TARGETS,quads
squat to stand w/ t-spine rotation,TARGETS,quads
lying cable shrug,TARGETS,traps
knee break ankle mobilization,TARGETS,calves
peroneal foam rolling,TARGETS,calves
single leg front to back jump rope,TARGETS,calves
machine shrug,TARGETS,traps
sumo high pull,TARGETS,traps
trap lacrosse ball,TARGETS,traps
dumbbell overhead carry,TARGETS,forearms
neutral dumbbell wrist curl over bench,TARGETS,forearms
double pause chin up,TARGETS,lats
kettlebell reverse lunge,TARGETS,quads
rope pull up,TARGETS,lats
reverse cable preacher curl,TARGETS,brachioradialis
reverse cable preacher curl,TARGETS,forearms
reverse cable preacher curl,TARGETS,wrist extensors
forearm flexors lacrosse ball,TARGETS,forearms
back squat to box against chains,TARGETS,quads
speed squats,TARGETS,quads
speed squats,TARGETS,glutes
wide grip incline bench press,TARGETS,chest
wide grip incline bench press,TARGETS,pectoralis major-clavicular
neutral grip dumbbell bench press,TARGETS,chest
dumbbell twist press,TARGETS,chest
standing high to low cable fly,TARGETS,chest
weighted tricep dips,TARGETS,triceps
incline skullcrusher,TARGETS,triceps
bodyweight hip thruster,TARGETS,glutes
single leg hip thrust with dumbbell,TARGETS,glutes
banded hip thruster,TARGETS,glutes
single leg hip thrust,TARGETS,glutes
seated cable curl,TARGETS,biceps
seated cable curl,TARGETS,brachialis
standing high pulley cable curl,TARGETS,biceps
barbell preacher curl,TARGETS,biceps
barbell preacher curl,TARGETS,brachialis
cable upright row,TARGETS,lateral deltoid
cable upright row,TARGETS,posterior deltoid
cable upright row,TARGETS,shoulders
landmine lateral raise,TARGETS,lateral deltoid
landmine lateral raise,TARGETS,posterior deltoid
landmine lateral raise,TARGETS,shoulders
machine lateral raise,TARGETS,lateral deltoid
machine lateral raise,TARGETS,posterior deltoid
machine lateral raise,TARGETS,shoulders
cable front raise (bilateral),TARGETS,lateral deltoid
cable front raise (bilateral),TARGETS,shoulders
one-arm seated cable row,TARGETS,back
one-arm seated cable row,TARGETS,upper back
kettlebell lateral lunge,TARGETS,quads
2 kb kettlebell clean,TARGETS,quads
field goal angel foam rolling,TARGETS,upper back
bent over kettlebell row,TARGETS,back
bent over kettlebell row,TARGETS,upper back
wide grip chin up,TARGETS,lats
weighted pull up hang,TARGETS,lats
band resisted chin up,TARGETS,lats
single pause chin up,TARGETS,lats
rack lat stretch,TARGETS,lats
shotgun row,TARGETS,lats
close grip chin up,TARGETS,lats
double pause pull up,TARGETS,lats
behind-the-back barbell shrug,TARGETS,traps
close grip pull up,TARGETS,lats
eccentric only chin up,TARGETS,lats
standing overhead medicine ball throw,TARGETS,lats
standing overhead medicine ball slam,TARGETS,lats
feet forward smith machine squat,TARGETS,quads
snatch shrug,TARGETS,traps
snatch shrug,TARGETS,trapezius-upper fibers
inverted shrug,TARGETS,traps
inverted shrug,TARGETS,trapezius-upper fibers
yoga plex,TARGETS,upper back
reverse grip incline bench cable row,TARGETS,upper back
double arm sled row,TARGETS,back
double arm sled row,TARGETS,upper back
incline bench barbell row,TARGETS,back
incline bench barbell row,TARGETS,upper back
thoracic extension on foam roller,TARGETS,upper back
banded machine t-bar row,TARGETS,back
banded machine t-bar row,TARGETS,upper back
cable palm rotational row,TARGETS,upper back
batwing reverse sled drag,TARGETS,upper back
reverse grip incline bench two-arm dumbbell row,TARGETS,upper back
t-bar machine shrug,TARGETS,traps
smith machine one leg toe raise,TARGETS,calves
seated barbell calf raise,TARGETS,tibialis anterior
seated barbell calf raise,TARGETS,soleus
seated barbell calf raise,TARGETS,calves
seated barbell calf raise,TARGETS,gastrocnemius
anterior calf foam rolling,TARGETS,calves
resistance band assisted pull up (from foot),TARGETS,lats
banded tibialis raise,TARGETS,tibialis anterior
banded tibialis raise,TARGETS,calves
skin the cat,TARGETS,lats
lat pulldown (rope extension),TARGETS,lats
single leg barbell romanian deadlift,TARGETS,hamstrings
lying cable hamstring curl,TARGETS,hamstrings
snatch grip block pull deadlift,TARGETS,hamstrings
ab crunch,TARGETS,obliques
ab crunch,TARGETS,abs
ab crunch,TARGETS,rectus abdominis
weighted chin up hang,TARGETS,lats
hanging knee raise,TARGETS,abs
plank,TARGETS,obliques
plank,TARGETS,abs
plank,TARGETS,rectus abdominis
seated cable wrist curl,TARGETS,wrist flexors
seated cable wrist curl,TARGETS,forearms
seated cable wrist curl,TARGETS,wrist extensors
forearm extensors lacrosse ball,TARGETS,forearms
decline dumbbell flys,TARGETS,pectoralis major-sternal
decline dumbbell flys,TARGETS,chest
decline dumbbell flys,TARGETS,pectoralis major-clavicular
dumbbell high low carry,TARGETS,forearms
sled sprint,TARGETS,quads
high bar back squat,TARGETS,quads
high bar back squat,TARGETS,glutes
one arm dumbbell fly,TARGETS,chest
one-arm standing dumbbell extension,TARGETS,triceps
supine hip internal rotation,TARGETS,glutes
french press,TARGETS,triceps
single leg glute bridge,TARGETS,glutes
standing dumbbell reverse curl,TARGETS,biceps
standing dumbbell reverse curl,TARGETS,brachialis
one-arm cable curl,TARGETS,biceps
lat pulldown bicep curl,TARGETS,biceps
machine bicep curl,TARGETS,biceps
ghd back extension iso hold,TARGETS,glutes
one arm dumbbell lateral raise,TARGETS,lateral deltoid
one arm dumbbell lateral raise,TARGETS,posterior deltoid
one arm dumbbell lateral raise,TARGETS,shoulders
smith machine upright row,TARGETS,lateral deltoid
smith machine upright row,TARGETS,shoulders
barbell front raise,TARGETS,shoulders
palm rotational row,TARGETS,upper back
machine shoulder press,TARGETS,shoulders
weighted inverted row,TARGETS,back
weighted inverted row,TARGETS,upper back
renegade row,TARGETS,upper back
incline bench cable row,TARGETS,back
incline bench cable row,TARGETS,upper back
cycled split squat jump,TARGETS,quads
split snatch,TARGETS,quads
split snatch,TARGETS,glutes
reverse lunge sled walk,TARGETS,quads
seated dumbbell shrug,TARGETS,traps
seated dumbbell shrug,TARGETS,trapezius-upper fibers
snatch grip high pull,TARGETS,traps
one-arm dumbbell upright row,TARGETS,traps
2 kb kettlebell sumo deadlift high pull,TARGETS,traps
zerchers squat,TARGETS,quads
zerchers squat,TARGETS,glutes
single leg circle jump rope,TARGETS,calves
toes in smith machine calf raise,TARGETS,calves
thibaudeau kayak row,TARGETS,lats
reverse grip seated cable wrist curl,TARGETS,forearms
reverse grip seated cable wrist curl,TARGETS,wrist extensors
archer pull up,TARGETS,lats
single leg overhead medicine ball tap,TARGETS,lats
toes out standing calf raise,TARGETS,calves
dumbbell side bends,TARGETS,obliques
dumbbell side bends,TARGETS,abs
forearm tiger tail,TARGETS,forearms
standing one arm dumbbell reverse curl,TARGETS,forearms
hammer strength machine incline bench press,TARGETS,chest
push up,TARGETS,pectoralis major-clavicular
push up,TARGETS,chest
push up,TARGETS,serratus anterior
push up,TARGETS,anterior deltoid
push up,TARGETS,pectoralis major-sternal
two arm standing dumbbell extension,TARGETS,triceps
bench dip,TARGETS,triceps
dumbbell floor press,TARGETS,triceps
standing external rotation,TARGETS,glutes
glute foam rolling,TARGETS,glutes
spider curl,TARGETS,biceps
figure 4 glute stretch,TARGETS,glutes
cable curl (rope extension),TARGETS,biceps
seated behind the neck shoulder press,TARGETS,shoulders
zottman curl,TARGETS,biceps
cable lateral raise,TARGETS,lateral deltoid
cable lateral raise,TARGETS,posterior deltoid
cable lateral raise,TARGETS,shoulders
seated dumbbell lateral raise,TARGETS,lateral deltoid
seated dumbbell lateral raise,TARGETS,posterior deltoid
seated dumbbell lateral raise,TARGETS,shoulders
seated row using rope,TARGETS,upper back
weight vest weighted inverted row,TARGETS,back
weight vest weighted inverted row,TARGETS,upper back
reverse grip smith machine bent-over row,TARGETS,back
reverse grip smith machine bent-over row,TARGETS,upper back
1 kb kettlebell sumo deadlift high pull,TARGETS,traps
standing calf machine shrug,TARGETS,traps
cable shrug,TARGETS,traps
cable shrug,TARGETS,trapezius-upper fibers
wide grip upright row,TARGETS,traps
posterior calf lacrosse ball,TARGETS,calves
bodyweight floor calf raise,TARGETS,calves
toes in standing machine calf raise,TARGETS,calves
skipping jump rope,TARGETS,calves
underhand close grip lat pulldown,TARGETS,lats
band assisted chin up (from knee),TARGETS,lats
l-sit pull up,TARGETS,lats
lying floor leg raise,TARGETS,abs
lying floor leg raise,TARGETS,rectus abdominis
mixed grip chin up,TARGETS,lats
barbell wrist curl over bench,TARGETS,forearms
hanging leg raise,TARGETS,obliques
hanging leg raise,TARGETS,abs
hanging leg raise,TARGETS,rectus abdominis
cable crossovers (upper chest),TARGETS,chest
cable crunch,TARGETS,obliques
cable crunch,TARGETS,abs
cable crunch,TARGETS,rectus abdominis
dumbbell reverse preacher curl,TARGETS,brachioradialis
dumbbell reverse preacher curl,TARGETS,forearms
dumbbell reverse preacher curl,TARGETS,wrist extensors
zercher carry,TARGETS,forearms
reverse dumbbell bench press,TARGETS,pectoralis major-sternal
reverse dumbbell bench press,TARGETS,chest
reverse dumbbell bench press,TARGETS,pectoralis major-clavicular
decline bench press,TARGETS,pectoralis major-sternal
decline bench press,TARGETS,chest
decline bench press,TARGETS,pectoralis major-clavicular
close grip bench press,TARGETS,triceps
rope tricep extension,TARGETS,triceps
good mornings off pins,TARGETS,glutes
dynamic pigeon,TARGETS,glutes
alternating standing dumbbell curl,TARGETS,biceps
alternating standing dumbbell curl,TARGETS,brachialis
hammer curl across the body aka pinwheel curls,TARGETS,biceps
cable curl,TARGETS,biceps
cable curl,TARGETS,brachialis
concentration curl,TARGETS,biceps
concentration curl,TARGETS,brachialis
standing cable reverse fly,TARGETS,posterior deltoid
standing cable reverse fly,TARGETS,shoulders
single arm cable lateral raise (crossbody),TARGETS,shoulders
cable face pull,TARGETS,lateral deltoid
cable face pull,TARGETS,shoulders
trap bar row,TARGETS,back
trap bar row,TARGETS,upper back
incline bench cable row (rope extension),TARGETS,upper back
seated bent over dumbbell reverse fly,TARGETS,shoulders
rope crossover seated row,TARGETS,upper back
reverse lunge sled row,TARGETS,upper back
high pull,TARGETS,traps
cable row to neck,TARGETS,traps
clean shrug,TARGETS,traps
clean shrug,TARGETS,trapezius-upper fibers
one-leg seated dumbbell calf raise,TARGETS,calves
cable calf raise,TARGETS,tibialis anterior
cable calf raise,TARGETS,soleus
cable calf raise,TARGETS,calves
cable calf raise,TARGETS,gastrocnemius
45 degree toe raise,TARGETS,calves
overhand close grip lat pulldown,TARGETS,lats
one-leg standing bodyweight calf raise,TARGETS,calves
trap bar romanian deadlift,TARGETS,hamstrings
trap bar romanian deadlift,TARGETS,erector spinae
lat foam rolling,TARGETS,lats
l-sit chin up,TARGETS,lats
chest dip,TARGETS,pectoralis major-sternal
chest dip,TARGETS,chest
chest dip,TARGETS,pectoralis major-clavicular
kettlebell romanian deadlift,TARGETS,hamstrings
tricep dips,TARGETS,triceps
lying barbell tricep extension (skull crusher),TARGETS,triceps
bodyweight hip thrust,TARGETS,glutes
curtsy lunge (aka drop lunge),TARGETS,glutes
x-band walk,TARGETS,glutes
banded multi directional toe touch,TARGETS,glutes
weighted hyperextension,TARGETS,glutes
ez bar preacher curl,TARGETS,biceps
standing dumbbell curl,TARGETS,biceps
standing dumbbell curl,TARGETS,brachialis
marching glute bridge,TARGETS,glutes
standing barbell curl,TARGETS,biceps
standing barbell curl,TARGETS,brachialis
seated arnold press,TARGETS,shoulders
seated dumbbell press,TARGETS,lateral deltoid
seated dumbbell press,TARGETS,posterior deltoid
seated dumbbell press,TARGETS,shoulders
seated barbell shoulder press,TARGETS,shoulders
rocking frog stretch,TARGETS,adductors
lateral kneeling adductor mobilization,TARGETS,adductors
cable hip adduction,TARGETS,thighs
cable hip adduction,TARGETS,adductors
adductor foam rolling,TARGETS,adductors
standing dumbbell press,TARGETS,shoulders
inverted rope row,TARGETS,back
inverted rope row,TARGETS,upper back
seated high cable row,TARGETS,back
seated high cable row,TARGETS,upper back
deadstop rack row,TARGETS,upper back
gittleson shrug,TARGETS,traps
gittleson shrug,TARGETS,trapezius-upper fibers
world's greatest stretch,TARGETS,upper back
smith machine one-arm row,TARGETS,upper back
tate press,TARGETS,traps
trap bar shrug,TARGETS,traps
trap bar shrug,TARGETS,trapezius-upper fibers
bodyweight standing calf raise,TARGETS,tibialis anterior
bodyweight standing calf raise,TARGETS,calves
bodyweight standing calf raise,TARGETS,gastrocnemius
donkey calf raise,TARGETS,tibialis anterior
donkey calf raise,TARGETS,soleus
donkey calf raise,TARGETS,calves
donkey calf raise,TARGETS,gastrocnemius
smith machine calf raise,TARGETS,tibialis anterior
smith machine calf raise,TARGETS,soleus
smith machine calf raise,TARGETS,calves
smith machine calf raise,TARGETS,gastrocnemius
rope climb,TARGETS,lats
band assisted chin up (from foot),TARGETS,lats
pull up with leg raise,TARGETS,lats
american deadlift,TARGETS,hamstrings
exercise ball leg curl (shelc),TARGETS,hamstrings
1 kettlebell single leg deadlift,TARGETS,hamstrings
landmine rdl,TARGETS,hamstrings
reverse barbell wrist curl over bench,TARGETS,forearms
dumbbell suitcase carry,TARGETS,forearms
hammer strength bench press,TARGETS,chest
cable iron cross,TARGETS,chest
cable iron cross,TARGETS,pectoralis major-sternal
incline dumbbell flys,TARGETS,pectoralis major-sternal
incline dumbbell flys,TARGETS,chest
incline dumbbell flys,TARGETS,pectoralis major-clavicular
pec dec,TARGETS,chest
pec dec,TARGETS,pectoralis major-sternal
seated dumbbell tricep extension,TARGETS,triceps
ez bar skullcrusher,TARGETS,triceps
lying dumbbell extension,TARGETS,triceps
seated good mornings,TARGETS,glutes
seated good mornings,TARGETS,erector spinae
barbell glute bridge,TARGETS,glutes
incline dumbbell curl,TARGETS,biceps
incline dumbbell curl,TARGETS,brachialis
straight bar tricep extension,TARGETS,triceps
standing hammer curl,TARGETS,biceps
standing hammer curl,TARGETS,brachialis
bent over dumbbell reverse fly,TARGETS,shoulders
smith machine shoulder press,TARGETS,shoulders
military press (aka overhead press),TARGETS,shoulders
hip adduction machine,TARGETS,thighs
hip adduction machine,TARGETS,adductors
dumbbell lateral raise,TARGETS,lateral deltoid
dumbbell lateral raise,TARGETS,posterior deltoid
dumbbell lateral raise,TARGETS,shoulders
deep squat prying,TARGETS,adductors
high pull sled drag,TARGETS,upper back
alternating lateral lunge with overhead reach,TARGETS,adductors
ez-bar reverse grip bent-over row,TARGETS,back
ez-bar reverse grip bent-over row,TARGETS,upper back
one-arm bent-over row,TARGETS,back
one-arm bent-over row,TARGETS,upper back
high inverted row,TARGETS,back
high inverted row,TARGETS,upper back
barbell shrug,TARGETS,traps
barbell shrug,TARGETS,trapezius-upper fibers
standing machine calf raise,TARGETS,tibialis anterior
standing machine calf raise,TARGETS,calves
standing machine calf raise,TARGETS,gastrocnemius
barbell upright row,TARGETS,traps
dumbbell shrug,TARGETS,traps
dumbbell shrug,TARGETS,trapezius-upper fibers
standing one-leg calf raise with dumbbell,TARGETS,calves
cable hip abduction,TARGETS,abductors
cable hip abduction,TARGETS,thighs
standing barbell calf raise,TARGETS,tibialis anterior
standing barbell calf raise,TARGETS,soleus
standing barbell calf raise,TARGETS,calves
standing barbell calf raise,TARGETS,gastrocnemius
hip abduction machine,TARGETS,abductors
hip abduction machine,TARGETS,thighs
weighted pull up,TARGETS,lats
weighted chin up,TARGETS,lats
one arm chin up,TARGETS,lats
razor curl,TARGETS,hamstrings
gironda sternum chin up,TARGETS,lats
nordic hamstring curl (bodyweight),TARGETS,hamstrings
standing cable hamstring curl,TARGETS,hamstrings
pendlay row,TARGETS,upper back
bodyweight single leg deadlift,TARGETS,hamstrings
incline bench press,TARGETS,pectoralis major-sternal
incline bench press,TARGETS,chest
incline bench press,TARGETS,pectoralis major-clavicular
banded good morning,TARGETS,glutes
banded good morning,TARGETS,erector spinae
ghd back extension,TARGETS,glutes
chest supported dumbbell row with isohold,TARGETS,upper back
reverse grip bent over row,TARGETS,back
reverse grip bent over row,TARGETS,upper back
smith machine bent-over row,TARGETS,back
smith machine bent-over row,TARGETS,upper back
seated dumbbell calf raise,TARGETS,tibialis anterior
seated dumbbell calf raise,TARGETS,soleus
seated dumbbell calf raise,TARGETS,calves
seated dumbbell calf raise,TARGETS,gastrocnemius
45 degree leg press calf raise,TARGETS,tibialis anterior
45 degree leg press calf raise,TARGETS,calves
45 degree leg press calf raise,TARGETS,gastrocnemius
seated calf raise,TARGETS,tibialis anterior
seated calf raise,TARGETS,soleus
seated calf raise,TARGETS,calves
seated calf raise,TARGETS,gastrocnemius
triple pause chin up,TARGETS,lats
resistance band assisted pull up (from knee),TARGETS,lats
eccentric only pull up,TARGETS,lats
arms only rope climb,TARGETS,lats
grip ball pull ups,TARGETS,lats
kettlebell swing,TARGETS,hamstrings
trap bar deadlift,TARGETS,hamstrings
trap bar deadlift,TARGETS,erector spinae
band assisted nordic hamstring curl,TARGETS,hamstrings
seated barbell wrist curl,TARGETS,wrist flexors
seated barbell wrist curl,TARGETS,forearms
seated barbell wrist curl,TARGETS,wrist extensors
incline dumbbell bench press,TARGETS,pectoralis major-sternal
incline dumbbell bench press,TARGETS,chest
incline dumbbell bench press,TARGETS,pectoralis major-clavicular
dumbbell bench press,TARGETS,pectoralis major-sternal
dumbbell bench press,TARGETS,chest
dumbbell bench press,TARGETS,pectoralis major-clavicular
side lying clam,TARGETS,glutes
cradle walk,TARGETS,hip flexors
standing glute kickback,TARGETS,glutes
meadows row,TARGETS,upper back
t-bar row,TARGETS,back
t-bar row,TARGETS,upper back
machine t-bar row,TARGETS,back
machine t-bar row,TARGETS,upper back
kneeling posterior hip capsule mobilization,TARGETS,hip flexors
dumbbell pullover,TARGETS,anterior deltoid
dumbbell pullover,TARGETS,chest
dumbbell pullover,TARGETS,pectoralis major-sternal
around the bar chin ups,TARGETS,lats
rope straight arm pull down,TARGETS,lats
wide smith machine squat,TARGETS,quads
wide smith machine squat,TARGETS,glutes
v-bar pull down,TARGETS,lats
v-bar pull up,TARGETS,lats
reverse hack squat,TARGETS,quads
reverse hack squat,TARGETS,hamstrings
reverse hack squat,TARGETS,glutes
dumbbell hamstring curl,TARGETS,hamstrings
stiff leg deadlift,TARGETS,hamstrings
stiff leg deadlift,TARGETS,erector spinae
neutral grip chest supported dumbbell row,TARGETS,upper back
barbell hip thrust,TARGETS,glutes
inverted row,TARGETS,back
inverted row,TARGETS,upper back
hip flexor foam rolling,TARGETS,hip flexors
cradle walk to forward lunge,TARGETS,hip flexors
incline bench two arm dumbbell row,TARGETS,upper back
standing hip flexion w/ bands,TARGETS,hip flexors
fire hydrant circles,TARGETS,hip flexors
hip flexor lacrosse ball,TARGETS,hip flexors
lying psoas march,TARGETS,hip flexors
reverse grip lat pull down (underhand),TARGETS,lats
wide grip lat pull down,TARGETS,lats
romanian deadlift (aka rdl),TARGETS,hamstrings
pull up,TARGETS,lats
chin up,TARGETS,lats
conventional deadlift,TARGETS,hamstrings
dumbbell stiff leg deadlift,TARGETS,hamstrings
dumbbell stiff leg deadlift,TARGETS,erector spinae
leg curl,TARGETS,hamstrings
tripod dumbbell row,TARGETS,upper back
bent over row,TARGETS,back
bent over row,TARGETS,upper back
bent over row,TARGETS,erector spinae
straight arm lat pull down,TARGETS,lats
